epoch,accuracy,learning_rate,loss,top3_acc,top5_acc,val_accuracy,val_loss,val_top3_acc,val_top5_acc
0,0.05978016182780266,0.00019999999494757503,4.114205837249756,0.17040561139583588,0.2656038999557495,0.04847576096653938,3.2384467124938965,0.22113943099975586,0.33758121728897095
1,0.0791926458477974,0.00019999999494757503,3.639824867248535,0.20807354152202606,0.3095712661743164,0.11544227600097656,3.1040897369384766,0.27961018681526184,0.3850574791431427
2,0.09159863740205765,0.00019999999494757503,3.4906272888183594,0.23924921452999115,0.353217214345932,0.1241879090666771,3.0539395809173584,0.29510244727134705,0.4300349950790405
3,0.10657581686973572,0.00019999999494757503,3.4012820720672607,0.25988301634788513,0.3786719739437103,0.12393803149461746,3.125093936920166,0.28435781598091125,0.4005497395992279
4,0.11885324865579605,0.00019999999494757503,3.312790870666504,0.2849521040916443,0.4086906313896179,0.1659170389175415,2.9297547340393066,0.36606696248054504,0.5004997253417969
5,0.145207941532135,0.00019999999494757503,3.2522706985473633,0.324034184217453,0.4498939514160156,0.18340829014778137,2.8687310218811035,0.3843078315258026,0.5302348732948303
6,0.15986372530460358,0.00019999999494757503,3.1951122283935547,0.3460821509361267,0.4709134101867676,0.18340829014778137,2.9074153900146484,0.37381309270858765,0.5264867544174194
7,0.16995564103126526,0.00019999999494757503,3.142122507095337,0.35996657609939575,0.49302566051483154,0.11194402724504471,3.0930774211883545,0.225387305021286,0.3355821967124939
8,0.1838400661945343,0.00019999999494757503,3.080639600753784,0.3829144537448883,0.5074242949485779,0.1906546652317047,2.8501319885253906,0.4097951054573059,0.5477261543273926
9,0.19168220460414886,0.00019999999494757503,3.0496633052825928,0.3957061171531677,0.5232371091842651,0.23213393986225128,2.7650327682495117,0.44002997875213623,0.5682159066200256
10,0.20935912430286407,0.00019999999494757503,3.0081331729888916,0.41582566499710083,0.5479205250740051,0.2021489292383194,2.803126573562622,0.4057970941066742,0.5379810333251953
11,0.21912965178489685,0.00019999999494757503,2.9685885906219482,0.42566046118736267,0.5546056628227234,0.23088455200195312,2.759695529937744,0.4537731111049652,0.588205873966217
12,0.22362923622131348,0.00019999999494757503,2.9123566150665283,0.441151887178421,0.5722182989120483,0.25212395191192627,2.677013635635376,0.4807596206665039,0.6166916489601135
13,0.23519958555698395,0.00019999999494757503,2.8769028186798096,0.4509223997592926,0.581667423248291,0.22863568365573883,2.810898542404175,0.43703147768974304,0.5634682774543762
14,0.2519766092300415,0.00019999999494757503,2.8159027099609375,0.46705663204193115,0.5986372828483582,0.2246376872062683,2.779548168182373,0.4460269808769226,0.5734632611274719
15,0.262068510055542,0.00019999999494757503,2.7880136966705322,0.48312658071517944,0.6123931407928467,0.24087956547737122,2.793186902999878,0.47101449966430664,0.6054472923278809
16,0.2830237150192261,5.999999848427251e-05,2.7035958766937256,0.5079385638237,0.6314842104911804,0.33608195185661316,2.4595937728881836,0.5637181401252747,0.6961519122123718
17,0.2849521040916443,5.999999848427251e-05,2.668841600418091,0.5092884302139282,0.6375265121459961,0.3085957169532776,2.5311434268951416,0.5397301316261292,0.6711643934249878
18,0.29665103554725647,5.999999848427251e-05,2.6244046688079834,0.527543842792511,0.655717670917511,0.35307347774505615,2.442063093185425,0.5782108902931213,0.6914042830467224
19,0.3008292019367218,5.999999848427251e-05,2.6045022010803223,0.5360930562019348,0.6621456742286682,0.3543228507041931,2.4166033267974854,0.5899550318717957,0.7091454267501831
20,0.31130680441856384,5.999999848427251e-05,2.5750651359558105,0.5424567461013794,0.6675451397895813,0.3595702052116394,2.4125587940216064,0.5902048945426941,0.7093952894210815
21,0.3175419569015503,5.999999848427251e-05,2.553431987762451,0.5479848384857178,0.6784084439277649,0.345577210187912,2.451103925704956,0.5779610276222229,0.7048975229263306
